Crop_Year,Area,Production
2014,17551,18634
2014,49261,141830
2014,69154,102046
1997,29514,14056
1997,6366,5462
1997,56841,38596
1998,33335,28062
1998,6795,9580
1998,56133,54267
1999,32940,23441
1999,8414,12119
1999,57620,62814
2000,33157,30980
2000,9931,14064
2000,57625,58910
2001,33306,30266
2001,9967,16462
2001,57795,66814
2002,33750,29871
2002,9527,14838
2002,59640,78756
2003,34213,32358
2003,9569,12546
2003,58844,74327
2004,34147,23886
2004,9997,13155
2004,58690,72659
2005,29128,27125
2005,7814,14947
2005,39572,45530
2006,23189,16774
2006,7818,12188
2006,32545,31246
2007,22507,16954
2007,8132,19327
2007,35410,33297
2008,22147,20617
2008,9947,20907
2008,36346,41200
2009,20782,14732
2009,10028,23102
2009,34421,39073
2010,16142,12826
2010,10680,35104
2010,34806,52651
2011,15953,17728
2011,10507,31151
2011,36205,48899
2012,12922,16900
2012,10740,31907
2012,35931,57117
2013,11021,17595
2013,13070,38727
2013,32690,66164
2014,5865,7909
2014,11685,38969
2014,35299,69061
1997,8278,7956
1997,7200,7843
1997,88000,94250
1998,8500,11894
1998,6800,11220
1998,87641,179644
1999,7800,7199
1999,7800,13416
1999,87864,161235
2000,12000,26674
2000,8000,17616
2000,84000,177395
2001,9000,18819
2001,9000,12015
2001,84093,193910
2002,9010,17300
2002,9110,15943
2002,87000,186815
2003,9250,18799
2003,9865,0
2003,90081,215840
2004,10174,2140
2004,9990,14835
2004,82968,148467
2005,9411,18157
2005,10261,16722
2005,90194,183913
2006,4070,6344
2006,7819,8100
2006,89689,151116
2007,10130,16238
2007,9680,18533
2007,79842,64012
2008,8350,13808
2008,9560,21126
2008,93610,199711
2009,8276,16457
2009,8902,6448
2009,93082,204084
2010,8359,16087
2010,7332,14228
2010,88908,195008
2011,7700,13116
2011,7990,14971
2011,90682,177981
2012,7680,15518
2012,7547,14736
2012,91912,202725
2013,6430,10288
2013,7700,12958
2013,82347,153041
2014,6752,13796
2014,8235,16088
2014,92895,216009
2005,10417,8313
2005,3438,5583
2005,29259,35506
2006,15038,13303
2006,3757,7578
2006,32687,42532
2007,15899,12476
2007,3182,5118
2007,34552,34188
2008,14608,8786
2008,3419,4668
2008,33354,35693
2009,14635,12473
2009,3453,4995
2009,33708,52037
2010,15372,15765
2010,1713,4240
2010,35740,57482
2011,15177,17161
2011,442,1106
2011,35480,42430
2012,17722,22966
2012,3262,9672
2012,36176,50867
2013,8879,11707
2013,2727,6025
2013,35250,58207
2014,6255,6553
2014,3413,8114
2014,35857,58189
1997,68782,40252
1997,7767,8937
1997,93133,70404
1998,68800,59143
1998,7795,10605
1998,82291,104485
1999,68700,61025
1999,13501,27841
1999,104375,121213
2000,80258,71065
2000,16100,23684
2000,104475,153306
2001,77720,86816
2001,16470,33010
2001,94000,148207
2002,62722,62640
2002,16000,30154
2002,91815,112768
2003,58340,60241
2003,13159,21880
2003,85117,133238
2004,60000,33992
2004,10581,18529
2004,74305,103631
2005,33000,43188
2005,1527,2692
2005,40639,62966
2006,19861,22279
2006,4452,9153
2006,26025,36479
2007,13275,15832
2007,12328,29205
2007,33086,51623
2008,12362,16859
2008,19078,46016
2008,48213,81778
2009,14624,10676
2009,19192,46521
2009,45540,72682
2010,14941,20783
2010,21000,56679
2010,49360,110863
2011,11823,19359
2011,19394,56669
2011,48505,105445
2012,7620,10527
2012,19850,70825
2012,48808,97931
2013,3616,4050
2013,17837,64285
2013,48236,92981
2014,3304,4990
2014,17356,65241
2014,48413,102861
1997,12750,7036
1997,4525,3012
1997,44725,38042
1998,11900,7700
1998,5891,7526
1998,33282,42704
1999,14198,12823
1999,6385,4277
1999,51348,78653
2000,10633,7165
2000,7030,7007
2000,54511,86567
2001,12135,10022
2001,7572,8705
2001,52550,72117
2002,12770,9987
2002,7270,6033
2002,50420,60603
2003,12577,10108
2003,7305,4722
2003,51920,60604
2004,11500,5762
2004,6282,4792
2004,56610,68235
2005,11309,5010
2005,3394,2958
2005,67975,82536
2006,9174,6822
2006,3446,3573
2006,65130,83114
2007,7944,5711
2007,3195,7243
2007,63270,81220
2008,7202,4935
2008,1703,2317
2008,63280,67130
2009,7823,5733
2009,4462,3862
2009,59652,83373
2010,8915,6964
2010,3150,4446
2010,64892,87301
2011,9305,7164
2011,2172,3848
